customer_id,customer_age_group,customer_gender,is_rewards_member
CUST_00001,35-44,Male,True
CUST_00002,25-34,Male,True
CUST_00003,35-44,Female,True
CUST_00004,45-54,Male,True
CUST_00005,25-34,Male,False
CUST_00007,18-24,Male,True
CUST_00008,35-44,Female,True
CUST_00009,25-34,Female,True
CUST_00010,45-54,Male,True
CUST_00011,45-54,Female,False
CUST_00012,25-34,Male,True
CUST_00013,55+,Male,True
CUST_00014,18-24,Male,True
CUST_00015,45-54,Female,True
CUST_00016,45-54,Female,True
CUST_00017,35-44,"Prefer not to say",True
CUST_00018,25-34,Female,True
CUST_00019,45-54,Female,True
CUST_00020,45-54,Female,True
CUST_00021,35-44,Male,True
CUST_00022,25-34,Male,True
CUST_00023,18-24,Male,True
CUST_00024,18-24,Male,True
CUST_00025,35-44,Male,True
CUST_00026,25-34,Male,True
CUST_00027,25-34,Non-binary,True
CUST_00028,35-44,Female,True
CUST_00029,18-24,Female,True
CUST_00030,18-24,Male,True
CUST_00031,55+,Female,True
CUST_00032,35-44,Female,True
CUST_00033,45-54,Female,True
CUST_00034,25-34,Male,True
CUST_00035,25-34,Male,True
CUST_00036,25-34,Non-binary,True
CUST_00037,45-54,Male,True
CUST_00038,35-44,Male,True
CUST_00039,55+,Female,True
CUST_00040,25-34,Male,False
CUST_00041,35-44,Male,True
CUST_00042,35-44,Female,True
CUST_00043,25-34,Male,True
CUST_00044,55+,Female,True
CUST_00045,18-24,Male,True
CUST_00046,18-24,Female,True
CUST_00047,45-54,Male,True
CUST_00048,18-24,Male,True
CUST_00049,55+,Female,True
CUST_00050,55+,Female,True
CUST_00051,18-24,Female,True
CUST_00052,35-44,Female,True
CUST_00053,25-34,Female,True
CUST_00054,18-24,Male,True
CUST_00055,25-34,"Prefer not to say",True
CUST_00056,45-54,Male,True
CUST_00057,35-44,Male,False
CUST_00058,55+,Female,True
CUST_00059,25-34,Female,True
CUST_00060,35-44,Male,True
CUST_00061,45-54,Female,True
CUST_00062,45-54,Female,True
CUST_00063,18-24,Male,True
CUST_00064,18-24,Non-binary,True
CUST_00065,45-54,Female,True
CUST_00066,25-34,Male,True
CUST_00067,45-54,Non-binary,True
CUST_00068,18-24,Female,True
CUST_00069,18-24,Female,True
CUST_00070,45-54,Male,True
CUST_00071,25-34,Female,True
CUST_00072,25-34,Female,True
CUST_00073,25-34,Male,True
CUST_00074,35-44,Female,True
CUST_00075,25-34,Male,True
CUST_00076,55+,Female,True
CUST_00077,25-34,Female,True
CUST_00078,18-24,Male,True
CUST_00079,25-34,Female,True
CUST_00080,25-34,Male,True
CUST_00081,18-24,Female,True
CUST_00082,25-34,Non-binary,True
CUST_00083,45-54,Male,True
CUST_00084,25-34,Female,True
CUST_00085,25-34,Male,True
CUST_00086,55+,Female,True
CUST_00087,25-34,Female,True
CUST_00088,45-54,Male,True
CUST_00089,18-24,Male,True
CUST_00090,25-34,Female,True
CUST_00091,35-44,Female,True
CUST_00092,55+,Male,True
CUST_00093,25-34,Male,True
CUST_00094,45-54,Male,True
CUST_00095,18-24,Male,True
CUST_00096,25-34,Male,True
CUST_00097,25-34,Non-binary,True
CUST_00098,25-34,Female,True
CUST_00099,35-44,Male,True
CUST_00100,55+,Female,True
CUST_00101,55+,Non-binary,True
CUST_00102,45-54,Male,True
CUST_00103,25-34,Male,True
CUST_00104,25-34,Male,True
CUST_00105,25-34,"Prefer not to say",True
CUST_00106,25-34,Female,True
CUST_00107,25-34,Male,True
CUST_00108,55+,"Prefer not to say",True
CUST_00109,35-44,Female,True
CUST_00110,18-24,Male,True
CUST_00111,55+,Female,True
CUST_00112,35-44,Female,True
CUST_00113,18-24,Female,True
CUST_00114,35-44,Female,True
CUST_00115,18-24,"Prefer not to say",True
CUST_00116,18-24,Male,True
CUST_00117,35-44,Female,True
CUST_00118,25-34,Male,True
CUST_00119,45-54,Male,True
CUST_00120,35-44,Female,True
CUST_00121,25-34,Female,True
CUST_00122,35-44,Non-binary,True
CUST_00123,25-34,Female,True
CUST_00124,25-34,Male,True
CUST_00125,35-44,Male,True
CUST_00126,25-34,Female,True
CUST_00127,18-24,Female,True
CUST_00128,55+,"Prefer not to say",True
CUST_00129,18-24,Male,True
CUST_00130,25-34,Non-binary,True
CUST_00131,45-54,Female,True
CUST_00132,25-34,Male,False
CUST_00133,45-54,Female,True
CUST_00134,35-44,"Prefer not to say",True
CUST_00135,35-44,Male,True
CUST_00136,45-54,Male,True
CUST_00137,35-44,Non-binary,True
CUST_00138,18-24,Male,True
CUST_00139,18-24,Female,True
CUST_00140,25-34,Female,True
CUST_00141,35-44,Male,True
CUST_00142,35-44,Male,True
CUST_00143,25-34,Non-binary,True
CUST_00144,45-54,Male,True
CUST_00145,25-34,Male,True
CUST_00146,18-24,Female,True
CUST_00147,35-44,Male,True
CUST_00148,35-44,Female,True
CUST_00149,25-34,Male,True
CUST_00150,18-24,Female,False
CUST_00151,55+,Female,True
CUST_00152,45-54,Female,True
CUST_00153,18-24,Male,True
CUST_00154,25-34,Female,True
CUST_00155,45-54,Female,True
CUST_00156,45-54,Male,True
CUST_00157,25-34,Male,True
CUST_00158,45-54,Female,True
CUST_00159,25-34,Female,True
CUST_00160,18-24,Non-binary,True
CUST_00161,45-54,"Prefer not to say",True
CUST_00162,45-54,Female,True
CUST_00163,18-24,Female,True
CUST_00164,25-34,Non-binary,True
CUST_00165,45-54,Female,True
CUST_00166,45-54,Male,True
CUST_00167,45-54,Male,True
CUST_00168,45-54,Female,True
CUST_00169,25-34,Female,True
CUST_00170,25-34,Male,True
CUST_00171,45-54,Male,True
CUST_00172,18-24,Male,True
CUST_00173,25-34,Female,True
CUST_00174,55+,Male,True
CUST_00175,35-44,Male,True
CUST_00176,55+,Female,True
CUST_00177,55+,Male,True
CUST_00178,55+,Male,True
CUST_00179,55+,Male,True
CUST_00180,18-24,Male,True
CUST_00181,35-44,Male,False
CUST_00182,35-44,Female,True
CUST_00183,25-34,Female,True
CUST_00184,25-34,Female,True
CUST_00185,18-24,Non-binary,True
CUST_00186,35-44,Female,True
CUST_00187,35-44,Female,True
CUST_00188,25-34,Male,True
CUST_00189,35-44,Male,True
CUST_00190,25-34,Female,True
CUST_00191,35-44,Male,True
CUST_00192,25-34,Male,True
CUST_00193,25-34,Male,True
CUST_00194,18-24,Male,True
CUST_00195,55+,Female,True
CUST_00196,55+,Female,True
CUST_00197,25-34,Female,True
CUST_00198,18-24,Male,True
CUST_00199,25-34,Female,True
CUST_00200,35-44,Female,True
CUST_00201,25-34,Male,True
CUST_00202,25-34,Non-binary,True
CUST_00203,45-54,Male,True
CUST_00204,18-24,Female,True
CUST_00205,35-44,Male,False
CUST_00206,45-54,Female,True
CUST_00207,35-44,Male,True
CUST_00208,18-24,Male,True
CUST_00209,25-34,Female,True
CUST_00210,45-54,Male,True
CUST_00211,25-34,Female,True
CUST_00212,18-24,Female,True
CUST_00213,25-34,Male,True
CUST_00214,35-44,Male,True
CUST_00215,45-54,Female,True
CUST_00216,18-24,Male,True
CUST_00217,18-24,"Prefer not to say",True
CUST_00218,35-44,Male,True
CUST_00219,25-34,Female,True
CUST_00220,25-34,Female,True
CUST_00221,35-44,"Prefer not to say",True
CUST_00222,35-44,"Prefer not to say",True
CUST_00223,45-54,Female,True
CUST_00224,35-44,Female,True
CUST_00225,45-54,Female,True
CUST_00226,45-54,Female,True
CUST_00227,25-34,Male,True
CUST_00228,25-34,Female,True
CUST_00229,45-54,Female,True
CUST_00230,35-44,Male,True
CUST_00231,18-24,Male,True
CUST_00232,25-34,Male,True
CUST_00233,35-44,Male,True
CUST_00234,25-34,Female,True
CUST_00235,35-44,Male,True
CUST_00236,25-34,Female,True
CUST_00237,25-34,Male,True
CUST_00238,25-34,Non-binary,True
CUST_00239,35-44,Female,True
CUST_00240,45-54,Female,True
CUST_00241,25-34,Male,True
CUST_00242,25-34,Female,True
CUST_00243,45-54,"Prefer not to say",True
CUST_00244,25-34,Female,True
CUST_00245,35-44,Female,True
CUST_00246,25-34,Male,True
CUST_00247,25-34,Male,True
CUST_00248,25-34,Female,True
CUST_00249,25-34,Male,True
CUST_00250,25-34,Male,True
CUST_00251,35-44,Male,True
CUST_00252,25-34,Female,True
CUST_00253,18-24,Female,True
CUST_00254,18-24,Female,True
CUST_00255,18-24,Male,True
CUST_00256,25-34,Male,True
CUST_00257,45-54,Male,True
CUST_00258,45-54,Female,True
CUST_00259,25-34,Male,True
CUST_00260,18-24,Female,True
CUST_00261,55+,Male,True
CUST_00262,35-44,Female,True
CUST_00263,35-44,Female,True
CUST_00264,55+,Male,False
CUST_00265,18-24,Male,True
CUST_00266,18-24,Female,True
CUST_00267,35-44,Male,True
CUST_00268,35-44,Female,True
CUST_00269,18-24,Female,True
CUST_00270,35-44,Male,True
CUST_00271,45-54,"Prefer not to say",True
CUST_00272,18-24,Male,True
CUST_00273,25-34,Female,True
CUST_00274,55+,Male,False
CUST_00275,35-44,Male,False
CUST_00276,35-44,Female,True
CUST_00277,18-24,Female,True
CUST_00278,45-54,Female,True
CUST_00279,18-24,"Prefer not to say",True
CUST_00280,45-54,Male,True
CUST_00281,25-34,Male,True
CUST_00282,35-44,Male,True
CUST_00283,45-54,Female,True
CUST_00284,18-24,"Prefer not to say",True
CUST_00285,35-44,Female,True
CUST_00286,35-44,Male,True
CUST_00287,35-44,"Prefer not to say",False
CUST_00288,25-34,Female,True
CUST_00289,35-44,Female,True
CUST_00290,25-34,Female,True
CUST_00291,25-34,Female,True
CUST_00292,45-54,Male,True
CUST_00293,45-54,Male,True
CUST_00294,25-34,Female,True
CUST_00295,25-34,Male,True
CUST_00296,45-54,Male,True
CUST_00297,25-34,Female,True
CUST_00298,25-34,Female,True
CUST_00299,35-44,Male,True
CUST_00300,18-24,Non-binary,True
CUST_00301,18-24,Female,True
CUST_00302,25-34,Female,True
CUST_00303,35-44,Female,True
CUST_00304,25-34,Female,True
CUST_00305,18-24,Male,True
CUST_00306,35-44,Male,True
CUST_00307,35-44,Female,True
CUST_00308,35-44,Male,True
CUST_00309,35-44,Male,True
CUST_00310,35-44,Male,True
CUST_00311,25-34,Male,True
CUST_00312,18-24,Male,True
CUST_00313,35-44,Female,True
CUST_00314,18-24,Male,True
CUST_00315,25-34,Female,True
CUST_00316,55+,Female,True
CUST_00317,25-34,Male,True
CUST_00318,18-24,Male,True
CUST_00319,18-24,Male,True
CUST_00320,35-44,Male,True
CUST_00321,55+,Female,True
CUST_00322,35-44,Male,True
CUST_00323,45-54,Female,True
CUST_00324,45-54,Female,True
CUST_00325,25-34,Male,True
CUST_00326,18-24,Male,True
CUST_00327,55+,Female,True
CUST_00328,45-54,Male,True
CUST_00329,18-24,Female,True
CUST_00330,18-24,Male,True
CUST_00331,35-44,Male,True
CUST_00332,55+,Male,True
CUST_00333,45-54,Female,True
CUST_00334,45-54,Male,True
CUST_00335,35-44,Female,True
CUST_00336,25-34,Female,True
CUST_00337,55+,Male,True
CUST_00338,35-44,Female,True
CUST_00339,35-44,Non-binary,True
CUST_00340,25-34,Male,True
CUST_00341,35-44,Male,True
CUST_00342,18-24,Male,True
CUST_00343,18-24,Female,True
CUST_00344,35-44,Male,True
CUST_00345,25-34,Female,True
CUST_00346,35-44,Female,True
CUST_00347,35-44,Non-binary,True
CUST_00348,45-54,Female,True
CUST_00349,35-44,Non-binary,True
CUST_00350,25-34,Female,True
CUST_00351,35-44,Non-binary,False
CUST_00352,45-54,Male,True
CUST_00353,18-24,Male,True
CUST_00354,35-44,Female,True
CUST_00355,25-34,Male,True
CUST_00356,35-44,Female,False
CUST_00357,55+,Female,True
CUST_00358,25-34,Male,True
CUST_00359,18-24,Male,True
CUST_00360,25-34,Male,True
CUST_00361,18-24,"Prefer not to say",True
CUST_00362,45-54,Female,True
CUST_00363,55+,"Prefer not to say",True
CUST_00364,35-44,Male,True
CUST_00365,18-24,Female,True
CUST_00366,25-34,Female,True
CUST_00367,55+,Male,True
CUST_00368,35-44,Female,True
CUST_00369,25-34,Male,True
CUST_00370,25-34,Male,True
CUST_00371,35-44,Female,True
CUST_00372,25-34,Female,False
CUST_00373,25-34,Non-binary,True
CUST_00374,45-54,Female,True
CUST_00375,25-34,Male,True
CUST_00376,25-34,"Prefer not to say",True
CUST_00377,25-34,Female,True
CUST_00378,55+,Female,True
CUST_00379,35-44,Male,True
CUST_00380,18-24,Male,True
CUST_00381,45-54,Female,True
CUST_00382,45-54,Male,True
CUST_00383,35-44,Non-binary,True
CUST_00384,25-34,Female,True
CUST_00385,18-24,"Prefer not to say",True
CUST_00386,35-44,Male,False
CUST_00387,18-24,Female,True
CUST_00388,35-44,Male,True
CUST_00389,55+,Non-binary,True
CUST_00390,25-34,Male,True
CUST_00391,45-54,Female,True
CUST_00392,35-44,Female,True
CUST_00393,25-34,Female,True
CUST_00394,55+,Male,True
CUST_00395,35-44,Male,True
CUST_00396,55+,Female,True
CUST_00397,45-54,Female,True
CUST_00398,25-34,Female,True
CUST_00399,25-34,Non-binary,True
CUST_00400,35-44,Female,True
CUST_00401,25-34,Male,True
CUST_00402,35-44,"Prefer not to say",True
CUST_00403,25-34,Male,True
CUST_00404,35-44,Male,True
CUST_00405,35-44,Female,True
CUST_00406,25-34,Male,True
CUST_00407,18-24,Female,True
CUST_00408,35-44,Male,True
CUST_00409,45-54,Male,False
CUST_00410,35-44,Female,True
CUST_00411,45-54,Male,True
CUST_00412,35-44,Female,True
CUST_00413,55+,Female,True
CUST_00414,18-24,Female,True
CUST_00415,35-44,Female,True
CUST_00416,45-54,Male,True
CUST_00417,35-44,Female,True
CUST_00418,35-44,Male,True
CUST_00419,35-44,Male,True
CUST_00420,25-34,"Prefer not to say",True
CUST_00421,25-34,Female,True
CUST_00422,35-44,Female,True
CUST_00423,45-54,Female,True
CUST_00424,25-34,Male,True
CUST_00425,35-44,Female,True
CUST_00426,45-54,Male,True
CUST_00427,18-24,Female,True
CUST_00428,55+,"Prefer not to say",True
CUST_00429,35-44,Male,True
CUST_00430,18-24,Female,True
CUST_00431,45-54,Male,True
CUST_00432,35-44,Non-binary,True
CUST_00433,18-24,Female,True
CUST_00434,25-34,Male,True
CUST_00435,18-24,Female,True
CUST_00436,35-44,Female,True
CUST_00437,18-24,Male,True
CUST_00438,45-54,Female,True
CUST_00439,25-34,Non-binary,True
CUST_00440,18-24,Female,True
CUST_00441,25-34,Male,True
CUST_00442,18-24,Female,True
CUST_00443,55+,Female,False
CUST_00444,18-24,Male,True
CUST_00445,25-34,Female,True
CUST_00446,35-44,Male,True
CUST_00447,25-34,Female,True
CUST_00448,18-24,Male,True
CUST_00449,25-34,Male,True
CUST_00450,35-44,Female,True
CUST_00451,55+,Male,True
CUST_00452,55+,Female,True
CUST_00453,25-34,Female,True
CUST_00454,35-44,Female,False
CUST_00455,18-24,Female,True
CUST_00456,25-34,Non-binary,True
CUST_00457,25-34,Female,True
CUST_00458,35-44,Male,True
CUST_00459,35-44,Female,True
CUST_00460,35-44,Female,True
CUST_00461,35-44,Female,True
CUST_00462,35-44,Non-binary,True
CUST_00463,35-44,Male,True
CUST_00464,25-34,Female,True
CUST_00465,35-44,Male,True
CUST_00466,25-34,Female,True
CUST_00467,18-24,Male,True
CUST_00468,35-44,"Prefer not to say",True
CUST_00469,35-44,Non-binary,False
CUST_00470,45-54,Male,True
CUST_00471,45-54,Female,True
CUST_00472,45-54,Female,True
CUST_00473,25-34,Male,True
CUST_00474,55+,Male,True
CUST_00475,55+,Female,True
CUST_00476,35-44,"Prefer not to say",True
