order_id,order_channel
ORD_00000001,Drive-Thru
ORD_00000002,"Mobile App"
ORD_00000003,Kiosk
ORD_00000004,Drive-Thru
ORD_00000005,Drive-Thru
ORD_00000006,"Mobile App"
ORD_00000007,"Mobile App"
ORD_00000008,"Mobile App"
ORD_00000009,"Mobile App"
ORD_00000010,"In-Store Cashier"
ORD_00000011,"Mobile App"
ORD_00000012,"In-Store Cashier"
ORD_00000013,"Mobile App"
ORD_00000014,"Mobile App"
ORD_00000015,"Mobile App"
ORD_00000016,Drive-Thru
ORD_00000017,Drive-Thru
ORD_00000018,"In-Store Cashier"
ORD_00000019,Drive-Thru
ORD_00000020,"In-Store Cashier"
ORD_00000021,Drive-Thru
ORD_00000022,"Mobile App"
ORD_00000023,"Mobile App"
ORD_00000024,Kiosk
ORD_00000025,Kiosk
ORD_00000026,Drive-Thru
ORD_00000027,Kiosk
ORD_00000028,"In-Store Cashier"
ORD_00000029,"Mobile App"
ORD_00000030,"Mobile App"
ORD_00000031,"Mobile App"
ORD_00000032,"Mobile App"
ORD_00000033,Drive-Thru
ORD_00000034,"Mobile App"
ORD_00000035,"Mobile App"
ORD_00000036,"Mobile App"
ORD_00000037,"Mobile App"
ORD_00000038,Drive-Thru
ORD_00000039,Drive-Thru
ORD_00000040,"Mobile App"
ORD_00000041,"Mobile App"
ORD_00000042,Kiosk
ORD_00000043,Drive-Thru
ORD_00000044,"Mobile App"
ORD_00000045,"In-Store Cashier"
ORD_00000046,"Mobile App"
ORD_00000047,"In-Store Cashier"
ORD_00000048,"In-Store Cashier"
ORD_00000049,Kiosk
ORD_00000050,"In-Store Cashier"
ORD_00000051,"In-Store Cashier"
ORD_00000052,"In-Store Cashier"
ORD_00000053,"Mobile App"
ORD_00000054,"In-Store Cashier"
ORD_00000055,Kiosk
ORD_00000056,Drive-Thru
ORD_00000057,"In-Store Cashier"
ORD_00000058,Kiosk
ORD_00000059,"Mobile App"
ORD_00000060,"In-Store Cashier"
ORD_00000061,"Mobile App"
ORD_00000062,Kiosk
ORD_00000063,"Mobile App"
ORD_00000064,"Mobile App"
ORD_00000065,"Mobile App"
ORD_00000066,"In-Store Cashier"
ORD_00000067,"In-Store Cashier"
ORD_00000068,"Mobile App"
ORD_00000069,Drive-Thru
ORD_00000070,"Mobile App"
ORD_00000071,"Mobile App"
ORD_00000072,"In-Store Cashier"
ORD_00000073,Drive-Thru
ORD_00000074,"In-Store Cashier"
ORD_00000075,"Mobile App"
ORD_00000076,Drive-Thru
ORD_00000077,"Mobile App"
ORD_00000078,"Mobile App"
ORD_00000079,Kiosk
ORD_00000080,"Mobile App"
ORD_00000081,"Mobile App"
ORD_00000082,"Mobile App"
ORD_00000083,"Mobile App"
ORD_00000084,"Mobile App"
ORD_00000085,"Mobile App"
ORD_00000086,Drive-Thru
ORD_00000087,"In-Store Cashier"
ORD_00000088,"Mobile App"
ORD_00000089,"Mobile App"
ORD_00000090,Drive-Thru
ORD_00000091,"Mobile App"
ORD_00000092,Drive-Thru
ORD_00000093,"In-Store Cashier"
ORD_00000094,"Mobile App"
ORD_00000095,Drive-Thru
ORD_00000096,"Mobile App"
ORD_00000097,Drive-Thru
ORD_00000098,"Mobile App"
ORD_00000099,"In-Store Cashier"
ORD_00000100,Drive-Thru
ORD_00000101,"Mobile App"
ORD_00000102,Drive-Thru
ORD_00000103,"In-Store Cashier"
ORD_00000104,Drive-Thru
ORD_00000105,"Mobile App"
ORD_00000106,"In-Store Cashier"
ORD_00000107,Drive-Thru
ORD_00000108,Kiosk
ORD_00000109,"Mobile App"
ORD_00000110,"Mobile App"
ORD_00000111,Drive-Thru
ORD_00000112,"Mobile App"
ORD_00000113,Drive-Thru
ORD_00000114,"Mobile App"
ORD_00000115,"Mobile App"
ORD_00000116,"Mobile App"
ORD_00000117,"Mobile App"
ORD_00000118,"In-Store Cashier"
ORD_00000119,"In-Store Cashier"
