"store_id";"store_location_type";"region"
"STR_001";"Suburban";"Southwest"
"STR_002";"Urban";"Southeast"
"STR_003";"Rural";"West"
"STR_004";"Urban";"Southwest"
"STR_005";"Suburban";"West"
"STR_006";"Urban";"Northeast"
"STR_007";"Suburban";"West"
"STR_008";"Urban";"Southwest"
"STR_009";"Suburban";"West"
"STR_010";"Urban";"Southeast"
"STR_011";"Suburban";"Southwest"
"STR_012";"Rural";"Southeast"
"STR_013";"Suburban";"West"
"STR_014";"Rural";"Southwest"
"STR_015";"Rural";"West"
"STR_016";"Suburban";"Northeast"
"STR_017";"Urban";"West"
"STR_018";"Suburban";"West"
"STR_019";"Urban";"West"
"STR_020";"Rural";"West"
"STR_021";"Rural";"Midwest"
"STR_022";"Urban";"Southeast"
"STR_023";"Urban";"Midwest"
"STR_024";"Suburban";"Southeast"
"STR_025";"Urban";"Northeast"
"STR_026";"Rural";"Southeast"
"STR_027";"Suburban";"Southeast"
"STR_028";"Suburban";"Southeast"
"STR_029";"Urban";"Midwest"
"STR_030";"Urban";"Midwest"
"STR_031";"Rural";"West"
"STR_032";"Urban";"Northeast"
"STR_033";"Rural";"Midwest"
"STR_034";"Rural";"Southwest"
"STR_035";"Rural";"Midwest"
"STR_036";"Rural";"West"
"STR_037";"Urban";"West"
"STR_038";"Urban";"Northeast"
"STR_039";"Suburban";"Northeast"
"STR_040";"Suburban";"Southeast"
"STR_041";"Urban";"Midwest"
"STR_042";"Rural";"Southeast"
"STR_043";"Suburban";"Southeast"
"STR_044";"Urban";"Southeast"
"STR_045";"Rural";"Northeast"
"STR_046";"Rural";"Midwest"
"STR_047";"Suburban";"West"
"STR_048";"Urban";"Midwest"
"STR_049";"Rural";"Southwest"
"STR_050";"Urban";"Midwest"
"STR_051";"Rural";"Southeast"
"STR_052";"Urban";"Southeast"
"STR_053";"Urban";"Northeast"
"STR_054";"Urban";"Southwest"
"STR_055";"Urban";"Southeast"
"STR_056";"Rural";"Midwest"
"STR_057";"Suburban";"Southeast"
"STR_058";"Rural";"Northeast"
"STR_059";"Suburban";"Northeast"
"STR_060";"Suburban";"Northeast"
"STR_061";"Rural";"West"
"STR_062";"Rural";"Southeast"
"STR_063";"Suburban";"Southeast"
"STR_064";"Rural";"West"
"STR_065";"Suburban";"Southwest"
"STR_066";"Rural";"Southeast"
"STR_067";"Rural";"Midwest"
"STR_068";"Urban";"Southeast"
"STR_069";"Urban";"Northeast"
"STR_070";"Suburban";"Southwest"
"STR_071";"Urban";"Southeast"
"STR_072";"Urban";"Southeast"
"STR_073";"Suburban";"Southwest"
"STR_074";"Rural";"Southwest"
"STR_075";"Urban";"Southwest"
"STR_076";"Urban";"Northeast"
"STR_077";"Urban";"Southwest"
"STR_078";"Suburban";"Southeast"
"STR_079";"Suburban";"Southeast"
"STR_080";"Suburban";"Midwest"
"STR_081";"Suburban";"Southwest"
"STR_082";"Rural";"West"
"STR_083";"Urban";"Midwest"
"STR_084";"Suburban";"Southwest"
"STR_085";"Suburban";"West"
"STR_086";"Suburban";"Midwest"
"STR_087";"Urban";"West"
"STR_088";"Urban";"Midwest"
"STR_089";"Rural";"Southwest"
"STR_090";"Rural";"Southeast"
"STR_091";"Urban";"West"
"STR_092";"Rural";"Southeast"
"STR_093";"Suburban";"Midwest"
"STR_094";"Suburban";"Southeast"
"STR_095";"Urban";"Midwest"
"STR_096";"Urban";"Midwest"
"STR_097";"Urban";"Northeast"
"STR_098";"Suburban";"Southwest"
"STR_099";"Rural";"Southwest"
"STR_100";"Urban";"Southwest"
