"store_id";"store_location_type";"region"
"STR_340";"Suburban";"Southwest"
"STR_425";"Urban";"Northeast"
"STR_103";"Suburban";"Midwest"
"STR_318";"Suburban";"Midwest"
"STR_338";"Suburban";"Northeast"
"STR_497";"Rural";"Northeast"
"STR_238";"Suburban";"Midwest"
"STR_150";"Urban";"Southwest"
"STR_466";"Rural";"Southwest"
"STR_148";"Urban";"Midwest"
"STR_077";"Urban";"Southwest"
"STR_441";"Suburban";"Southeast"
"STR_176";"Rural";"Northeast"
"STR_022";"Urban";"Southeast"
"STR_410";"Suburban";"Southeast"
"STR_262";"Urban";"Southeast"
"STR_477";"Rural";"Midwest"
"STR_388";"Rural";"Southeast"
"STR_140";"Rural";"West"
"STR_301";"Rural";"Northeast"
"STR_187";"Urban";"West"
"STR_458";"Urban";"Southwest"
"STR_114";"Rural";"Southwest"
"STR_080";"Suburban";"Midwest"
"STR_189";"Suburban";"West"
"STR_492";"Rural";"Northeast"
"STR_096";"Urban";"Midwest"
"STR_497";"Rural";"Northeast"
"STR_047";"Suburban";"West"
"STR_393";"Rural";"Southwest"
"STR_495";"Suburban";"Southeast"
"STR_348";"Urban";"Southeast"
"STR_083";"Urban";"Midwest"
"STR_125";"Urban";"Midwest"
"STR_287";"Suburban";"Southwest"
"STR_452";"Rural";"West"
"STR_208";"Urban";"West"
"STR_351";"Suburban";"West"
"STR_350";"Urban";"West"
"STR_046";"Rural";"Midwest"
"STR_414";"Suburban";"West"
"STR_285";"Rural";"Southeast"
"STR_063";"Suburban";"Southeast"
"STR_137";"Urban";"Southwest"
"STR_346";"Suburban";"Midwest"
"STR_126";"Rural";"Southeast"
"STR_334";"Suburban";"West"
"STR_035";"Rural";"Midwest"
"STR_110";"Suburban";"West"
"STR_129";"Suburban";"Midwest"
"STR_052";"Urban";"Southeast"
"STR_012";"Rural";"Southeast"
"STR_321";"Suburban";"West"
"STR_096";"Urban";"Midwest"
"STR_472";"Suburban";"Northeast"
"STR_137";"Urban";"Southwest"
"STR_171";"Rural";"Midwest"
"STR_163";"Rural";"Southwest"
"STR_064";"Rural";"West"
"STR_174";"Rural";"Southeast"
"STR_313";"Urban";"Southeast"
"STR_045";"Rural";"Northeast"
"STR_216";"Suburban";"West"
"STR_004";"Urban";"Southwest"
"STR_490";"Urban";"West"
"STR_187";"Urban";"West"
"STR_145";"Urban";"Northeast"
"STR_097";"Urban";"Northeast"
"STR_476";"Urban";"West"
"STR_364";"Suburban";"West"
"STR_214";"Suburban";"Southwest"
"STR_277";"Suburban";"Northeast"
"STR_403";"Urban";"Midwest"
"STR_283";"Urban";"Midwest"
"STR_434";"Rural";"West"
"STR_496";"Rural";"Northeast"
"STR_397";"Urban";"Northeast"
"STR_015";"Rural";"West"
"STR_077";"Urban";"Southwest"
"STR_189";"Suburban";"West"
"STR_231";"Urban";"Northeast"
"STR_288";"Urban";"Northeast"
"STR_333";"Suburban";"Southwest"
"STR_354";"Suburban";"Midwest"
"STR_026";"Rural";"Southeast"
"STR_336";"Rural";"Southwest"
"STR_200";"Urban";"Northeast"
"STR_189";"Suburban";"West"
"STR_023";"Urban";"Midwest"
"STR_062";"Rural";"Southeast"
"STR_123";"Rural";"Midwest"
"STR_310";"Urban";"Southeast"
"STR_195";"Suburban";"West"
"STR_295";"Suburban";"Southwest"
"STR_202";"Urban";"Northeast"
"STR_354";"Suburban";"Midwest"
"STR_207";"Suburban";"West"
"STR_297";"Rural";"Southwest"
"STR_416";"Urban";"Southeast"
"STR_248";"Rural";"Southeast"
"STR_106";"Urban";"Southwest"
"STR_026";"Rural";"Southeast"
"STR_096";"Urban";"Midwest"
"STR_267";"Urban";"Southwest"
"STR_411";"Urban";"Midwest"
"STR_143";"Urban";"Southwest"
"STR_213";"Rural";"Southwest"
"STR_498";"Urban";"Northeast"
"STR_097";"Urban";"Northeast"
"STR_482";"Rural";"Southeast"
"STR_200";"Urban";"Northeast"
"STR_342";"Suburban";"Southwest"
"STR_026";"Rural";"Southeast"
"STR_201";"Urban";"Southwest"
"STR_174";"Rural";"Southeast"
"STR_063";"Suburban";"Southeast"
"STR_464";"Suburban";"West"
"STR_031";"Rural";"West"
"STR_053";"Urban";"Northeast"
"STR_418";"Urban";"Southwest"
"STR_165";"Urban";"West"
"STR_260";"Urban";"Midwest"
"STR_038";"Urban";"Northeast"
"STR_487";"Urban";"Southeast"
"STR_408";"Rural";"West"
"STR_207";"Suburban";"West"
"STR_065";"Suburban";"Southwest"
"STR_072";"Urban";"Southeast"
"STR_198";"Suburban";"Southeast"
"STR_328";"Urban";"West"
"STR_442";"Suburban";"West"
"STR_406";"Suburban";"Midwest"
"STR_237";"Rural";"Southeast"
"STR_304";"Suburban";"West"
"STR_283";"Urban";"Midwest"
"STR_497";"Rural";"Northeast"
"STR_141";"Suburban";"Midwest"
"STR_037";"Urban";"West"
"STR_240";"Urban";"Northeast"
"STR_471";"Suburban";"Southwest"
"STR_194";"Suburban";"West"
