id,order_id,order_channel,order_ahead
1,ORD_00000001,Drive-Thru,False
2,ORD_00000002,"Mobile App",True
3,ORD_00000003,Kiosk,False
4,ORD_00000004,Drive-Thru,False
5,ORD_00000005,Drive-Thru,False
6,ORD_00000006,"Mobile App",False
7,ORD_00000007,"Mobile App",True
8,ORD_00000008,"Mobile App",False
9,ORD_00000009,"Mobile App",True
10,ORD_00000010,"In-Store Cashier",False
11,ORD_00000011,"Mobile App",False
12,ORD_00000012,"In-Store Cashier",False
13,ORD_00000013,"Mobile App",True
14,ORD_00000014,"Mobile App",False
15,ORD_00000015,"Mobile App",False
16,ORD_00000016,Drive-Thru,False
17,ORD_00000017,Drive-Thru,False
18,ORD_00000018,"In-Store Cashier",False
19,ORD_00000019,Drive-Thru,False
20,ORD_00000020,"In-Store Cashier",False
21,ORD_00000021,Drive-Thru,False
22,ORD_00000022,"Mobile App",True
23,ORD_00000023,"Mobile App",False
24,ORD_00000024,Kiosk,False
25,ORD_00000025,Kiosk,False
26,ORD_00000026,Drive-Thru,False
27,ORD_00000027,Kiosk,False
28,ORD_00000028,"In-Store Cashier",False
29,ORD_00000029,"Mobile App",False
30,ORD_00000030,"Mobile App",False
31,ORD_00000031,"Mobile App",True
32,ORD_00000032,"Mobile App",True
33,ORD_00000033,Drive-Thru,False
34,ORD_00000034,"Mobile App",True
35,ORD_00000035,"Mobile App",False
36,ORD_00000036,"Mobile App",True
37,ORD_00000037,"Mobile App",True
38,ORD_00000038,Drive-Thru,False
39,ORD_00000039,Drive-Thru,False
40,ORD_00000040,"Mobile App",False
41,ORD_00000041,"Mobile App",True
42,ORD_00000042,Kiosk,False
43,ORD_00000043,Drive-Thru,False
44,ORD_00000044,"Mobile App",False
45,ORD_00000045,"In-Store Cashier",False
46,ORD_00000046,"Mobile App",True
47,ORD_00000047,"In-Store Cashier",False
48,ORD_00000048,"In-Store Cashier",False
49,ORD_00000049,Kiosk,False
50,ORD_00000050,"In-Store Cashier",False
51,ORD_00000051,"In-Store Cashier",False
52,ORD_00000052,"In-Store Cashier",False
53,ORD_00000053,"Mobile App",True
54,ORD_00000054,"In-Store Cashier",False
55,ORD_00000055,Kiosk,False
56,ORD_00000056,Drive-Thru,False
57,ORD_00000057,"In-Store Cashier",False
58,ORD_00000058,Kiosk,False
59,ORD_00000059,"Mobile App",True
60,ORD_00000060,"In-Store Cashier",False
61,ORD_00000061,"Mobile App",False
62,ORD_00000062,Kiosk,False
63,ORD_00000063,"Mobile App",True
64,ORD_00000064,"Mobile App",True
65,ORD_00000065,"Mobile App",False
66,ORD_00000066,"In-Store Cashier",False
67,ORD_00000067,"In-Store Cashier",False
68,ORD_00000068,"Mobile App",True
69,ORD_00000069,Drive-Thru,False
70,ORD_00000070,"Mobile App",True
71,ORD_00000071,"Mobile App",False
72,ORD_00000072,"In-Store Cashier",False
73,ORD_00000073,Drive-Thru,False
74,ORD_00000074,"In-Store Cashier",False
75,ORD_00000075,"Mobile App",True
76,ORD_00000076,Drive-Thru,False
77,ORD_00000077,"Mobile App",False
78,ORD_00000078,"Mobile App",False
79,ORD_00000079,Kiosk,False
80,ORD_00000080,"Mobile App",True
81,ORD_00000081,"Mobile App",True
82,ORD_00000082,"Mobile App",False
83,ORD_00000083,"Mobile App",True
84,ORD_00000084,"Mobile App",True
85,ORD_00000085,"Mobile App",True
86,ORD_00000086,Drive-Thru,False
87,ORD_00000087,"In-Store Cashier",False
88,ORD_00000088,"Mobile App",True
89,ORD_00000089,"Mobile App",True
90,ORD_00000090,Drive-Thru,False
91,ORD_00000091,"Mobile App",True
92,ORD_00000092,Drive-Thru,False
93,ORD_00000093,"In-Store Cashier",False
94,ORD_00000094,"Mobile App",True
95,ORD_00000095,Drive-Thru,False
96,ORD_00000096,"Mobile App",True
97,ORD_00000097,Drive-Thru,False
98,ORD_00000098,"Mobile App",True
99,ORD_00000099,"In-Store Cashier",False
100,ORD_00000100,Drive-Thru,False
101,ORD_00000101,"Mobile App",False
102,ORD_00000102,Drive-Thru,False
103,ORD_00000103,"In-Store Cashier",False
104,ORD_00000104,Drive-Thru,False
105,ORD_00000105,"Mobile App",True
106,ORD_00000106,"In-Store Cashier",False
107,ORD_00000107,Drive-Thru,False
108,ORD_00000108,Kiosk,False
109,ORD_00000109,"Mobile App",True
110,ORD_00000110,"Mobile App",False
111,ORD_00000111,Drive-Thru,False
112,ORD_00000112,"Mobile App",True
113,ORD_00000113,Drive-Thru,False
114,ORD_00000114,"Mobile App",True
115,ORD_00000115,"Mobile App",True
116,ORD_00000116,"Mobile App",False
117,ORD_00000117,"Mobile App",True
118,ORD_00000118,"In-Store Cashier",False
119,ORD_00000119,"In-Store Cashier",False
120,ORD_00000120,Drive-Thru,False
121,ORD_00000121,"Mobile App",False
122,ORD_00000122,Drive-Thru,False
123,ORD_00000123,Drive-Thru,False
124,ORD_00000124,Drive-Thru,False
125,ORD_00000125,"Mobile App",True
126,ORD_00000126,"In-Store Cashier",False
127,ORD_00000127,"Mobile App",False
128,ORD_00000128,"Mobile App",True
129,ORD_00000129,"Mobile App",True
130,ORD_00000130,Drive-Thru,False
131,ORD_00000131,"Mobile App",True
132,ORD_00000132,Drive-Thru,False
133,ORD_00000133,"In-Store Cashier",False
134,ORD_00000134,"In-Store Cashier",False
135,ORD_00000135,"Mobile App",True
136,ORD_00000136,"In-Store Cashier",False
137,ORD_00000137,"Mobile App",True
138,ORD_00000138,"In-Store Cashier",False
139,ORD_00000139,Drive-Thru,False
140,ORD_00000140,Drive-Thru,False
141,ORD_00000141,"Mobile App",False
142,ORD_00000142,Drive-Thru,False
143,ORD_00000143,"Mobile App",True
144,ORD_00000144,"Mobile App",True
145,ORD_00000145,Drive-Thru,False
146,ORD_00000146,"In-Store Cashier",False
147,ORD_00000147,"In-Store Cashier",False
148,ORD_00000148,"In-Store Cashier",False
149,ORD_00000149,Kiosk,False
150,ORD_00000150,"Mobile App",True
151,ORD_00000151,"Mobile App",True
152,ORD_00000152,"In-Store Cashier",False
153,ORD_00000153,"Mobile App",True
154,ORD_00000154,"Mobile App",True
155,ORD_00000155,"Mobile App",True
156,ORD_00000156,Drive-Thru,False
157,ORD_00000157,"Mobile App",False
158,ORD_00000158,Drive-Thru,False
159,ORD_00000159,"In-Store Cashier",False
160,ORD_00000160,"Mobile App",True
161,ORD_00000161,Drive-Thru,False
162,ORD_00000162,"Mobile App",False
163,ORD_00000163,"Mobile App",True
164,ORD_00000164,"Mobile App",True
165,ORD_00000165,Drive-Thru,False
166,ORD_00000166,Drive-Thru,False
167,ORD_00000167,"Mobile App",True
