id,order_id,customer_id,total_spend,fulfillment_time_min,customer_satisfaction
1,ORD_00000001,4,14.48,8,4
2,ORD_00000002,7,9.52,5,4
3,ORD_00000003,45,9.32,5,5
4,ORD_00000004,51,9.55,4,4
5,ORD_00000005,64,12.24,4,3
6,ORD_00000006,113,21.13,5,4
7,ORD_00000007,114,12.95,4,3
8,ORD_00000008,115,26.33,5,5
9,ORD_00000009,149,12.17,4,5
10,ORD_00000010,150,11.11,4,5
11,ORD_00000011,162,18.41,4,2
12,ORD_00000012,163,14.45,3,4
13,ORD_00000013,164,20.69,4,5
14,ORD_00000014,172,14.10,4,4
15,ORD_00000015,196,18.27,6,5
16,ORD_00000016,198,14.28,6,5
17,ORD_00000017,211,10.08,2,3
18,ORD_00000018,212,9.06,4,5
19,ORD_00000019,213,19.69,6,2
20,ORD_00000020,214,6.71,6,2
21,ORD_00000021,230,8.50,8,4
22,ORD_00000022,447,15.14,5,5
23,ORD_00000023,449,15.90,3,4
24,ORD_00000024,450,10.39,4,3
25,ORD_00000025,451,7.85,5,4
26,ORD_00000026,452,10.99,7,3
27,ORD_00000027,453,22.03,4,4
28,ORD_00000028,454,6.47,3,1
29,ORD_00000029,455,20.58,5,2
30,ORD_00000030,486,19.02,6,4
31,ORD_00000031,487,27.85,5,5
32,ORD_00000032,488,28.89,4,2
33,ORD_00000033,500,11.70,6,2
34,ORD_00000034,385,22.14,4,4
35,ORD_00000035,502,36.05,4,5
36,ORD_00000036,503,18.26,5,4
37,ORD_00000037,504,16.67,7,5
38,ORD_00000038,505,17.80,9,4
39,ORD_00000039,506,7.16,5,2
40,ORD_00000040,507,10.69,7,4
41,ORD_00000041,508,24.82,5,3
42,ORD_00000042,509,9.27,5,4
43,ORD_00000043,511,10.24,5,5
44,ORD_00000044,559,21.07,5,3
45,ORD_00000045,563,11.44,3,5
46,ORD_00000046,567,21.08,7,5
47,ORD_00000047,568,6.01,3,4
48,ORD_00000048,569,10.12,3,3
49,ORD_00000049,581,10.70,5,3
50,ORD_00000050,605,19.88,3,4
51,ORD_00000051,607,10.13,3,4
52,ORD_00000052,609,5.31,4,5
53,ORD_00000053,610,27.62,4,5
54,ORD_00000054,611,12.79,3,3
55,ORD_00000055,632,10.38,4,3
56,ORD_00000056,633,6.29,5,5
57,ORD_00000057,635,5.54,3,2
58,ORD_00000058,637,17.04,4,4
59,ORD_00000059,640,9.77,6,5
60,ORD_00000060,642,13.48,4,5
61,ORD_00000061,643,8.48,5,4
62,ORD_00000062,644,9.53,5,3
63,ORD_00000063,645,23.88,4,4
64,ORD_00000064,646,20.51,4,4
65,ORD_00000065,671,27.02,4,4
66,ORD_00000066,473,16.15,3,1
67,ORD_00000067,718,11.19,4,5
68,ORD_00000068,719,30.42,5,4
69,ORD_00000069,720,12.96,6,5
70,ORD_00000070,721,23.51,7,3
71,ORD_00000071,722,15.71,6,3
72,ORD_00000072,723,14.62,1,4
73,ORD_00000073,724,16.31,6,2
74,ORD_00000074,725,11.28,3,4
75,ORD_00000075,726,9.58,3,1
76,ORD_00000076,727,15.66,7,4
77,ORD_00000077,731,10.90,3,4
78,ORD_00000078,531,17.35,4,5
79,ORD_00000079,735,11.91,3,4
80,ORD_00000080,737,14.96,5,4
81,ORD_00000081,743,10.65,4,5
82,ORD_00000082,744,12.26,3,5
83,ORD_00000083,747,14.13,6,4
84,ORD_00000084,749,14.40,5,4
85,ORD_00000085,751,17.53,4,5
86,ORD_00000086,753,7.91,5,3
87,ORD_00000087,755,10.80,4,4
88,ORD_00000088,784,18.87,4,3
89,ORD_00000089,787,16.24,3,5
90,ORD_00000090,789,7.70,7,5
91,ORD_00000091,792,9.73,4,5
92,ORD_00000092,794,17.03,7,5
93,ORD_00000093,119,9.62,3,2
94,ORD_00000094,798,18.98,4,5
95,ORD_00000095,801,17.73,5,2
96,ORD_00000096,829,17.93,2,3
97,ORD_00000097,831,17.12,6,2
98,ORD_00000098,349,13.00,5,1
99,ORD_00000099,870,18.93,5,5
100,ORD_00000100,872,9.19,5,4
101,ORD_00000101,874,19.75,5,4
102,ORD_00000102,876,11.60,10,5
103,ORD_00000103,878,9.22,3,5
104,ORD_00000104,880,13.63,6,5
105,ORD_00000105,882,21.25,3,5
106,ORD_00000106,883,14.21,2,5
107,ORD_00000107,884,7.76,2,5
108,ORD_00000108,885,18.00,4,2
